realDonaldTrump_tweet,realDonaldTrump_date,JustinTrudeau_tweet,JustinTrudeau_date
"....I would also like to thank “Papa” Doug Manchester, hopefully the next Ambassador to the Bahamas, for the incredible amount of time, money and passion he has spent on helping to bring safety to the Bahamas. Much work to be done by the Bahamian Government. We will help! @OANN",2019-09-07,"Il est dans l’intérêt national du Canada de protéger l’environnement et d’investir dans l’avenir, tout en s’occupant des familles aujourd’hui. En autorisant le TMX et en investissant les profits dans notre transition écologique, c’est ce que nous faisons.",2019-06-18
"Thank you to Bahamian Prime Minister Hubert Minnis for your very gracious and kind words in saying that without the help of the United States and me, their would have been many more casualties. I give all credit to FEMA, the U.S. Coast Guard, & the brave people of the Bahamas..",2019-09-07,"Nous allons aussi travailler avec les groupes autochtones pour qu’ils puissent bénéficier directement de ce projet sur le plan financier, comme par une participation financière ou un partage des revenus.",2019-06-18
"China just enacted a major stimulus plan. With all the Tariffs THEY are paying to the USA, Billions and Billions of Dollars, they need it! In the meantime, our Federal Reserve sits back and does NOTHING!",2019-09-07,"Nous nous servirons des profits pour financer notre transition écologique. Chaque dollar généré par le gouvernement avec ce projet sera investi dans des ressources renouvelables, dans des projets liés p.ex. à l’électrification et dans la transition des Autochtones liée au diesel.",2019-06-18
"PROMISES MADE, PROMISES KEPT!",2019-09-07,"Le projet TMX règle un grand défi économique au pays : en ce moment, 99% de nos ressources classiques sont vendues à un seul marché – les États-Unis – à grand rabais. Nous devons diversifier nos marchés afin d’obtenir un prix juste pour nos produits.",2019-06-18
,2019-09-07,"En même temps, nous avons créé plus d’un million de nouveaux emplois, nous avons sorti 825 000 Canadiens de la pauvreté et nous avons le plus bas taux de chômage de notre histoire.",2019-06-18
"....that were not hit – and that are in good condition. Any cruise ship companies willing to act as stationary housing, etc., I am sure would be appreciated!",2019-09-06,"Au 21e siècle, il faut un plan pour l’environnement et un plan pour l’économie. Ces quatre dernières années, nous en avons fait plus pour l’environnement que tout autre gouvernement dans l’histoire du Canada.",2019-06-18
"The @USCG, @FEMA, and all others, along with other countries that have been helping, have been asked to move people in the badly hit sections of the Bahamas to other sections of the Bahamas....",2019-09-06,Nous avons pris l’engagement de changer les choses dans ce pays et de faire croître la classe moyenne. Et aussi d’avoir un plan concret pour protéger l’environnement et lutter contre les changements climatiques. Ces objectifs ne sont pas contradictoires; ils sont complémentaires.,2019-06-18
“The Washington Post’s Lost Summer”,2019-09-06,"Aujourd’hui, nous avons annoncé que notre gouvernement a approuvé le projet d’oléoduc Trans Mountain & que chaque dollar généré par le gouvernement fédéral avec ce projet sera investi dans l’énergie propre. Plus d’info sur notre décision d’aller de l’avant avec TMX ",2019-06-18
,2019-09-06,"Great to hear this news, my friend. Can’t wait to have you back.",2019-06-18
,2019-09-06,"Très heureux d’apprendre ça, mon ami. J’ai très hâte que tu reviennes parmi nous.",2019-06-18
"“China is eating the Tariffs.” Billions pouring into USA. Targeted Patriot Farmers getting massive Dollars from the incoming Tariffs! Good Jobs Numbers, No Inflation(Fed). China having worst year in decades. Talks happening, good for all!",2019-09-06,Protecting the rights of minority official language communities across the country is vital as we continue to modernize the Official Languages Act. My thanks to @QCGN for the meeting in Montreal yesterday.,2019-06-18
The Economy is great. The only thing adding to “uncertainty” is the Fake News!,2019-09-06,"Il faut absolument protéger les droits des communautés de langue officielle en situation minoritaire de partout au pays pendant que nous continuons de moderniser la Loi sur les langues officielles. Merci au @QCGN pour la rencontre à Montréal, hier.",2019-06-18
"Great job by FEMA, Law Enforcement, First Responders, U.S. Coast Guard, and ALL! Keep going, we all appreciate what you are doing!",2019-09-06,Canadians mourn today with the family and loved ones of the Canadian soldier killed in a training exercise in Bulgaria yesterday. Bombardier Patrick Labrie’s brave service to our country will not be forgotten.,2019-06-18
....partner should start playing it straight. It would be so much better for our Country!,2019-09-06,"Aujourd’hui, les Canadiens sont de tout cœur avec la famille et les proches du soldat canadien tué dans un exercice en Bulgarie, hier. Nous n’oublierons jamais les services que le courageux bombardier Patrick Labrie a rendus à notre pays.",2019-06-18
"....This nonsense has never happened to another President. Four days of corrupt reporting, still without an apology. But there are many things that the Fake News Media has not apologized to me for, like the Witch Hunt, or SpyGate! The LameStream Media and their Democrat.....",2019-09-06,"One team, one country, one unforgettable victory. We’ll remember this moment for generations to come. @Raptors #WeTheNorthDay",2019-06-18
"The Fake News Media was fixated on the fact that I properly said, at the beginnings of Hurricane Dorian, that in addition to Florida & other states, Alabama may also be grazed or hit. They went Crazy, hoping against hope that I made a mistake (which I didn’t). Check out maps.....",2019-09-06,"Une équipe, un pays, une victoire inoubliable. Nous nous souviendrons de ce moment pour les générations à venir. @Raptors #WeTheNorthDay",2019-06-18
Larry Kudlow on @Varneyco now!,2019-09-06,"I hope all those injured in today’s shooting have a speedy recovery, and I’d like to thank the Toronto Police for acting so quickly. We won’t let this act of violence take away from the spirit of today's parade.",2019-06-18
"Our great @JudgeJeanine has just written a book that will add to the tremendous success of her last number one best seller. It’s called, “Radicals, Resistance, and Revenge, The Left’s Plot To Remake America.” It is a FANTASTIC book. Go get it! @foxandfriends",2019-09-06,"J'espère que tous ceux qui ont été blessés dans la fusillade d'aujourd'hui se rétabliront rapidement, et je remercie la police de Toronto d'avoir agi si rapidement. Nous ne laisserons pas cet acte de violence enlever à l'esprit du défilé d'aujourd'hui.",2019-06-18
Great interview of Sarah Sanders by @foxandfriends. She is a terrific person with a great future!,2019-09-06,"Looking to buy your first home? Starting September 2, the new First Time Home Buyer Incentive will give you up to 10% of your new home’s value – to help you with your down payment and make your mortgage more affordable. Learn more about it: https://bit.ly/2KWOKnl",2019-06-17
Congratulations to @edhenry and his sister on a great success. What a wonderful thing to do!,2019-09-06,"Vous vous apprêtez à acheter votre première maison? À partir du 2 septembre, l’Incitatif à l’achat d’une première propriété vous donnera jusqu’à 10 % de la valeur de votre maison, pour vous aider avec votre mise de fonds et votre hypothèque. Plus d’info : https://bit.ly/2WLVEOf",2019-06-17
"I agree with @jimcramer, the Fed should lower rates. They were WAY too early to raise, and Way too late to cut - and big dose quantitative tightening didn’t exactly help either. Where did I find this guy Jerome? Oh well, you can’t win them all!",2019-09-06,"Good meeting today in Ottawa with @UNHumanRights High Commissioner, @mbachelet. Thank you for the discussion on how we can keep working together to protect the world’s most vulnerable and make sure everyone’s rights are equally respected.",2019-06-17
"DACA will be going before the Supreme Court. It is a document that even President Obama didn’t feel he had the legal right to sign - he signed it anyway! Rest assured that if the SC does what all say it must, based on the law, a bipartisan deal will be made to the benefit of all!",2019-09-06,"Merci à la haute-commissaire de l’@UNHumanRights, @mbachelet, pour la rencontre d’aujourd'hui à Ottawa sur la façon dont on peut continuer à travailler ensemble pour protéger les plus vulnérables du monde et faire en sorte que les droits de tous soient également respectés.",2019-06-17
"....President Obama never had the legal right to sign DACA, and he indicated so at the time of signing. But In any event, how can he have the right to sign and I don’t have the right to “unsigned.” Totally illegal document which would actually give the President new powers.",2019-09-06,"Congratulations on making history, @BrookeHenderson! We can’t wait to see what’s next for you. ",2019-06-17
....have the discretion to end the program that President Obama began in his discretion. That program was unlawful to begin with. I think it’s very unlikely that the SCOTUS is going to issue an order reinstating what it believes is an unlawful program. DACA Is unlawful.” .....,2019-09-06,Félicitations @BrookeHenderson... vous êtes entrée dans l’histoire! Nous avons bien hâte de voir ce qui va suivre. ,2019-06-17
"The Immigration Law Institute’s Christopher Hajec says, “The Supreme Court has to look st whether DACA is lawful. What they are looking at now is whether Trump’s recision of DACA is lawful. Must consider lawfulness of DACA itself. Looks very odd that President Trump doesn’t.....",2019-09-06,Sending my best wishes to all those celebrating Icelandic National Day and the 75th anniversary of the proclamation of the independent Republic of Iceland:,2019-06-17
"....that our economy is very strong. If the Fed would lower rates to where the bond market says they should be, then I really wouldn’t worry about a recession.” @jimcramer @JoeSquawk",2019-09-06,Meilleurs vœux à tous ceux et celles qui célèbrent la Fête nationale islandaise et le 75e anniversaire de la proclamation de la république indépendante d’Islande :,2019-06-17
"“I think President Trump is set in his ways because he doesn’t see any weakening. I mean, look at the joblessness report today. What I’m surprised at is how strong the consumer is. I think the Chinese need it (a deal) more than we do. It’s statistical. I just think....",2019-09-06,"Congratulations to @Pierre_Lavoie and everyone who rode in the Grand défi this weekend! 1000 km of promoting healthy, active lifestyles for Quebecers – and all Canadians – is something to be proud of.",2019-06-16
"Looking forward to watching @SarahHuckabee Sanders tomorrow morning on @FoxandFriends, by far the #1 rated show on Morning Cable at 8:30am. Sarah will be an incredible addition to @FoxNews!",2019-09-06,Félicitations à @Pierre_Lavoie et à tous les participants qui ont roulé au Grand défi ce week-end! 1000 km pour promouvoir un mode de vie sain et actif chez les Québécois et l'ensemble des Canadiens... il y a de quoi être fiers!,2019-06-16
"Great job done by @GovRonDesantis, @SenRickScott, Senator @MarcoRubio, and all of the those from Florida that were so brilliantly involved, including @FEMA, @USCG, Law Enforcement and First Responders. Thank you all!",2019-09-05,"Hey dads, Happy Father’s Day! I know how important your family is to you, and that’s why our government introduced the new Parental Sharing Benefit – so you can spend more time with your little ones.",2019-06-16
"Just got off the phone with Governor Brian Kemp (@GovKemp) of Georgia. Happy to hear that things are looking good for everyone. I stand by ready to assist, along with our great team at @FEMA – we’re with you ALL THE WAY!",2019-09-05,"Bonne fête des Pères à tous les papas! Je sais à quel point votre famille est importante pour vous, et c'est pourquoi notre gouvernement a instauré la nouvelle prestation parentale partagée... Comme ça, vous pouvez passer plus de temps avec vos petits.",2019-06-16
"Just spoke to Governor @HenryMcMaster of South Carolina regarding Hurricane Dorian. I informed Henry that we are monitoring South Carolina and stand by ready to assist. Be safe everyone, we are totally with you!",2019-09-05,"We asked the wealthiest 1% of Canadians to pay a little more, so we could cut taxes for the middle class. That means you have more money in your pockets to help with the cost of living and invest in your family.",2019-06-15
"Just talked to Governor Roy Cooper of North Carolina as Hurricane Dorian ominously comes up the East Coast. We are monitoring it at the @WhiteHouse, ready to assist via our great team over at @FEMA, who are already on site. We are with you all the way North Carolina. BE SAFE!",2019-09-05,"Nous avons demandé au 1 % des Canadiens les plus riches de payer un peu plus, pour nous permettre de baisser les impôts de la classe moyenne. Cela veut dire que vous avez plus d’argent dans vos poches pour assumer le coût de la vie et investir dans votre famille.",2019-06-15
I was with you all the way Alabama. The Fake News Media was not!,2019-09-05,"Happy Italian Heritage Month! Italian-Canadians have made tremendous contributions to our country, and continue to strengthen our communities every day. Tonight, we celebrated this vibrant community with friends, family, music, and good food. Grazie, cari amici!",2019-06-15
"Just as I said, Alabama was originally projected to be hit. The Fake News denies it!",2019-09-05,"Bon Mois du patrimoine italien! Les Canadiens d'origine italienne ont apporté des contributions extraordinaires à notre pays et continuent de renforcer nos communautés chaque jour. Ce soir, nous avons célébré cette communauté dynamique avec famille et amis. Grazie, cari amici!",2019-06-15
....His dedication to Israel and to seeking peace between Israel and the Palestinians won’t be forgotten. He will be missed. Thank you Jason!,2019-09-05,"2 million trees for 2 million Canadians who have served our country. And with every one planted along the Highway of Heroes, we remember those who made the ultimate sacrifice, and think of the brave women and men who continue to serve Canada.",2019-06-15
"After almost 3 years in my Administration, Jason Greenblatt will be leaving to pursue work in the private sector. Jason has been a loyal and great friend and fantastic lawyer....",2019-09-05,Deux millions d'arbres pour deux millions de Canadiens qui ont servi notre pays. Chaque arbre planté le long de l'autoroute des héros nous rappelle ceux qui ont fait le sacrifice ultime ainsi que les femmes et les hommes qui servent encore aujourd'hui le Canada avec courage.,2019-06-15
Really Good Jobs Numbers!,2019-09-05,"I stopped by Caldense Bakery today for some good conversations with families from Davenport – and of course, I couldn’t resist their Portuguese tarts. What a great way to mark Portuguese Heritage Month!",2019-06-15
"Alabama was going to be hit or grazed, and then Hurricane Dorian took a different path (up along the East Coast). The Fake News knows this very well. That’s why they’re the Fake News!",2019-09-05,"Je me suis arrêté à la boulangerie Caldense aujourd'hui et j'ai eu de bonnes conversations avec des familles de Davenport. Et, bien sûr, je n'ai pas pu résister aux tartelettes portugaises. Quelle belle façon de souligner le Mois du patrimoine portugais!",2019-06-15
"....said what she did, even being on a much higher rated show, she would have been thrown off television. Will Fake News NBC allow a McCarthy style Racist to continue? ABC fired Roseanne. Watch the double standard!",2019-09-05,"Hey @SpeakerPelosi – sorry our bet didn’t work out for you but I’m looking forward to those California delicacies you owe me. I like dark chocolate, by the way. #WeTheNorth",2019-06-14
"Bad “actress” Debra The Mess Messing is in hot water. She wants to create a “Blacklist” of Trump supporters, & is being accused of McCarthyism. Is also being accused of being a Racist because of the terrible things she said about blacks and mental illness. If Roseanne Barr....",2019-09-05,"Je regrette que notre pari n'ait pas marché pour vous, @SpeakerPelosi, mais j'ai hâte de recevoir les spécialités californiennes que vous me devez. J'aime le chocolat noir, d’ailleurs. #WeTheNorth",2019-06-14
"....Instead it turned North and went up the coast, where it continues now. In the one model through Florida, the Great State of Alabama would have been hit or grazed. In the path it took, no. Read my FULL FEMA statement. What I said was accurate! All Fake News in order to demean!",2019-09-05,Celebrating Filipino Heritage Month with @SalmaZahid15 and a big plate of food in Scarborough. Thanks to everyone at FV Foods for the warm welcome!,2019-06-14
"In the early days of the hurricane, when it was predicted that Dorian would go through Miami or West Palm Beach, even before it reached the Bahamas, certain models strongly suggested that Alabama & Georgia would be hit as it made its way through Florida & to the Gulf....",2019-09-05,Nous célébrons le Mois du patrimoine philippin à Scarborough avec @SalmaZahid15 et une assiette de nourriture bien remplie. Merci à tout le monde chez FV Foods pour l’accueil chaleureux!,2019-06-14
Thank you Terrence. Best Employment Numbers In History for African Americans!,2019-09-05,"There's more work ahead, but together we've delivered for the Métis Nation: Historic investments in post-secondary education Helping small &amp; medium-sized Métis businesses succeed Investments in Métis Nation housing More opportunities for skills training &amp; jobs More",2019-06-14
,2019-09-05,"Il en reste à faire, mais voici ce qu’on a accompli pour la Nation des Métis: Investissements historiques dans l’enseignement postsecondaire Aider des PME métisses à réussir Investissements dans le logement Plus d’occasions de formation professionnelle &amp; d’emploi Plus",2019-06-14
"....information does come out.” Charlie Hurt, Washington Times @LouDobbs",2019-09-05,"Was great seeing you, Celina.",2019-06-14
"....facts, and that should terrify every American regardless of their political stripe. The idea that all of that information hasn’t already been revealed shows how dastardly these people are, and how terrified they are about what’s going to happen when that....",2019-09-05,"This week, our government announced Canada will ban single-use plastics as early as 2021. Because we owe it to our planet – and to our kids – to keep our communities clean and free from plastic waste. #BeatPlasticPollution",2019-06-14
"“Absolutely nothing is more important than going back & getting to the bottom of the origins of the investigation. We had an administration using America’s Spying Apparatus to spy on a political opponent at the height of a presidential election. Those are all known, undisputed...",2019-09-05,"Cette semaine, notre gouvernement a annoncé que le Canada interdira les plastiques à usage unique dès 2021. Nous devons à notre planète – et à nos enfants – de garder nos communautés propres et exemptes de déchets plastiques. #CombattreLaPollutionPlastique",2019-06-14
"This was the originally projected path of the Hurricane in its early stages. As you can see, almost all models predicted it to go through Florida also hitting Georgia and Alabama. I accept the Fake News apologies!",2019-09-04,And that's how we do it in the North. #RaptorsIn6ix #WeTheNorth,2019-06-14
"State Rep Greg Murphy is running for Congress in North Carolina, District 3. We really need Greg in Washington. He is great w/ the Military, our Vets, & your 2A. Strong on Crime and the Border, has had my Total Endorsement for a long time. Please vote for Greg on September 10th!",2019-09-04,Et c'est comme ça qu'on fait dans le Nord. #RaptorsIn6ix #WeTheNorth,2019-06-14
"7. The badly flawed Paris Climate Agreement protects the polluters, hurts Americans, and cost a fortune. NOT ON MY WATCH! 8. I want crystal clean water and the cleanest and the purest air on the planet – we’ve now got that!",2019-09-04,Watching #Game6 with my favourite @Raptors fans! #RaptorsIn6ix #WeTheNorth,2019-06-14
6. The Democrats’ destructive “environmental” proposals will raise your energy bill and prices at the pump. Don't the Democrats care about fighting American poverty?,2019-09-04,Je regarde le #match6 avec mes supporters préférés des @Raptors! #RaptorsIn6ix #WeTheNorth,2019-06-14
4. The U.S. now leads the world in energy production... BUT... 5. Who's got the world's cleanest and safest air and water? AMERICA!,2019-09-04,"Since signing the Canada-Métis Nation Accord, we’ve been working together towards a renewed, strengthened relationship. Each year we meet to reflect on what we’ve achieved together & keep moving forward to deliver results for the Métis Nation. Read more: https://bit.ly/2x1rYCF",2019-06-13
1. Which country has the largest carbon emission reduction? AMERICA! 2. Who has dumped the most carbon into the air? CHINA! 3. 91% of the world’s population are exposed to air pollution above the World Health Organization’s suggested level. NONE ARE IN THE U.S.A.!,2019-09-04,"Depuis la signature de l'Accord entre le Canada et la Nation des Métis, on travaille ensemble à renouveler et à renforcer notre relation. Chaque année on réfléchit à nos réalisations et on poursuit notre travail au profit de la Nation des Métis. Info: https://bit.ly/2KgxZ6Z",2019-06-13
8 FACTS that #FakeNewsCNN will ignore in tonight’s “Climate Forum”,2019-09-04,"Next week I’ll travel to Washington, D.C. to meet with @POTUS Trump on the ratification of the new NAFTA, and discuss how we’ll keep creating jobs and strengthening our trade and economic partnership. More details: https://pm.gc.ca/eng/news/2019/06/13/prime-minister-travel-united-states",2019-06-13
"....We can’t have a system where we run our entire economy for the benefit of other countries, which have long charged us big tariffs. Don’t keep ducking the reality. The U.S. has been subject to Tariff Terrorism for 50 years. But a real deal can be done.” Sam Zell @JoeSquawk",2019-09-04,"La semaine prochaine, je me rendrai à Washington D.C. pour rencontrer le @POTUS Trump et parler de la ratification du nouvel ALENA et des façons dont nous pouvons continuer à créer des emplois et à renforcer nos liens commerciaux et économiques. Détails :",2019-06-13
"....Trump is doing to China is not lost on the rest of the world. Europe has had among the most protectionist policies forever. They’re sitting there and saying, gee, are we next? Maybe you are! We’ve got to change the rules. The U.S. can’t defend the world and pay for it....",2019-09-04,A different kind of long distance phone call! Thanks to @Astro_DavidS for chatting with Ella-Grace and me today – all the way from the International @Space_Station.,2019-06-13
"“The Chinese are very adept at not accepting anything. You’ve got to be very tough, and that’s what Trump is doing. It’s in China’s interest to correct, and I think we’ll end up with a solution that’s dramatically better than we have today. Frankly, I think the impact of what...",2019-09-04,Voilà un autre type d'appel « longue distance »! Merci à @Astro_DavidS d'avoir jasé avec Ella-Grace et moi aujourd'hui depuis la @Space_Station internationale.,2019-06-13
“U.S. Winning Trade War With China In Dollars.” CNBC,2019-09-04,This made my day! A special surprise at the office.,2019-06-13
.....on the President of the United States.” @charliekirk11 @trish_regan,2019-09-04,Cette belle surprise qui m’attendait au bureau a été le clou de ma journée!,2019-06-13
"“To declassify is so important because if this were a Democrat President or a Democrat Candidate, that was spied on the way President Trump was spied on, this would be a scandal that would make Watergate look like nothing. Illegal spying.....",2019-09-04,"Welcome to Ottawa, @LMushikiwabo. And thanks for the meeting today on how Canada and @OIFfrancophonie will work together on our joint priorities: strengthening French language &amp; cultures, and promoting democracy, human rights, gender equality and youth.",2019-06-12
"“I am so tired of hearing the rationalization of the Left in the country because they hate Donald Trump. Inexplicably and without foundation, they choose to hate America. The Democrats have truly become the party of hate.” @LouDobbs",2019-09-04,"Bienvenue à Ottawa, @LMushikiwabo. Merci pour la réunion sur la façon dont le Canada et l’@OIFfrancophonie travailleront ensemble sur nos priorités communes : rayonnement du français, promotion de la démocratie et des droits de la personne, l’égalité des genres et la jeunesse.",2019-06-12
The truth is that we have a nation that is disgusted with the FBI. We have a crisis of confidence in the number one law enforcement agency in this country (thanks Comey!). @LouDobbs “It’s a scandal.” @AlanDersh,2019-09-04,Universal healthcare should mean you don’t have to choose between medicine you need & putting food on the table. Today’s Advisory Council report shows rising drug costs are a threat to that promise. We're committed to national pharmacare as part of a plan to strengthen medicare.,2019-06-12
"At the request of Senator Thom Tillis, I am getting the North Carolina Emergency Declaration completed and signed tonight. Hope you won’t need it!",2019-09-04,"Dans un système de soins de santé universels, chacun devrait avoir accès aux médicaments qu’il lui faut. Le rapport du Conseil consultatif montre que la hausse du prix des médicaments menace cette promesse. L’assurance-médicaments permettra de renforcer notre système de santé.",2019-06-12
"The U.S. may be getting a little bit lucky with respect to Hurricane Dorian, but please don’t let down your guard. As it heads up the coast, lots of very bad and unpredictable things can happen! On the other hand, the Bahamas have been devastated. We are sending crews to help!",2019-09-03,Wishing a happy Independence Day to Filipinos here in Canada and around the world. Mabuhay!,2019-06-12
@NHC_Atlantic,2019-09-03,Joyeuse Fête de l'indépendance aux Philippins du Canada et du monde entier. Mabuhay!,2019-06-12
"....”knife crime,” which is totally out of control in London. People are afraid to even walk the streets. He is a terrible mayor who should stay out of our business!",2019-09-03,"Had a good call with Lakshmi Mittal of @ArcelorMittal, thank you for your support this past year. We’ll always stand up for Canadian steel and aluminum workers. Now that US tariffs have been removed, companies like yours can keep growing our economy &amp; creating jobs for Canadians.",2019-06-11
"The incompetent Mayor of London, Sadiq Khan, was bothered that I played a very fast round of golf yesterday. Many Pols exercise for hours, or travel for weeks. Me, I run through one of my courses (very inexpensive). President Obama would fly to Hawaii. Kahn should focus on....",2019-09-03,Bon entretien avec Lakshmi Mittal d’@ArcelorMittal. Merci de votre appui. Nous défendrons toujours les travailleurs de l'acier et de l'aluminium. L’élimination des droits américains permettra à des entreprises comme la vôtre de continuer à aider notre économie et les Canadiens.,2019-06-11
"Based on the IG Report, the whole Witch Hunt against me and my administration was a giant and illegal SCAM. The House of Representatives should now get back to work on drug prices, healthcare, infrastructure and all else. The Mueller Report showed No Collusion, No Obstruction!",2019-09-03, Over one million new jobs since 2015 A growing middle class The lowest unemployment &amp; poverty rates on record And we’ll keep working hard to support you &amp; your family,2019-06-11
"Germany, and so many other countries, have negative interest rates, “they get paid for loaning money,” and our Federal Reserve fails to act! Remember, these are also our weak currency competitors!",2019-09-03," Plus d’un million de nouveaux emplois depuis 2015 Une classe moyenne en pleine croissance Les plus bas taux de chômage et de pauvreté jamais enregistrés Et nous allons continuer de travailler fort pour vous soutenir, vous et votre famille",2019-06-11
"For all of the “geniuses” out there, many who have been in other administrations and “taken to the cleaners” by China, that want me to get together with the EU and others to go after China Trade practices remember, the EU & all treat us VERY unfairly on Trade also. Will change!",2019-09-03,Canada’s team L’équipe du Canada. #WeTheNorth,2019-06-11
"....And then, think what happens to China when I win. Deal would get MUCH TOUGHER! In the meantime, China’s Supply Chain will crumble and businesses, jobs and money will be gone!",2019-09-03,.@UNHumanRights High Commissioner @mbachelet will visit Canada next week. I look forward to discussing how we can keep working together to advance human rights and protect the most vulnerable around the world.,2019-06-11
"We are doing very well in our negotiations with China. While I am sure they would love to be dealing with a new administration so they could continue their practice of “ripoff USA”($600 B/year),16 months PLUS is a long time to be hemorrhaging jobs and companies on a long-shot....",2019-09-03,"La haute-commissaire de l’@UNHumanRights, @mbachelet, visitera le Canada la semaine prochaine pour discuter de moyens de continuer à faire progresser les droits de la personne et à protéger les personnes les plus vulnérables du monde.",2019-06-11
"...Trade Agreement.” @business @ChuckGrassley @joniernst @SenatorFischer @BenSasse Making great progress for our Farmers. Approved E-15, year round. Big additional list to be submitted &amp; approved within two weeks. Will be even better for Ethanol, and we save our small refineries!",2019-09-03,"90 years young! Last night, we celebrated a man whose optimism, hope, and commitment to equality and a better future inspired so many of us. Happy birthday, John Turner – and thank you for everything you’ve done for Canadians.",2019-06-11
"“Brazil will allow more American Ethanol to enter the country without Tariffs, a decision that Brazilian mills are celebrating. The seemingly counter-intuitive reaction stems from the tone of ongoing negotiations between the South American nation and the U.S. for a...",2019-09-03,"90 ans! Hier soir, on a célébré un homme dont l’optimisme, l’espoir et l’engagement à l'égard de l’égalité et d’un avenir meilleur ont inspiré beaucoup d’entre nous. Bon anniversaire, John Turner – et merci de tout ce que vous avez fait pour les Canadiens.",2019-06-11
"....when in fact, under certain original scenarios, it was in fact correct that Alabama could have received some “hurt.” Always good to be prepared! But the Fake News is only interested in demeaning and belittling. Didn’t play my whole sentence or statement. Bad people!",2019-09-02,Never sounded better #WeTheNorth,2019-06-11
"Such a phony hurricane report by lightweight reporter @jonkarl of @ABCWorldNews. I suggested yesterday at FEMA that, along with Florida, Georgia, South Carolina and North Carolina, even Alabama could possibly come into play, which WAS true. They made a big deal about this...",2019-09-02,Il n’a jamais aussi bien résonné #WeTheNorth,2019-06-11
,2019-09-02,"Plastic pollution is a problem we can’t afford to ignore. Today our government announced we'll: Ban harmful single-use plastics as early as 2021 Make companies accountable for their plastic waste Support job-creating innovation &amp; promote affordable, safe alternatives",2019-06-10
"....The good news is that we are winning. Our real opponent is not the Democrats, or the dwindling number of Republicans that lost their way and got left behind, our primary opponent is the Fake News Media. In the history of our Country, they have never been so bad!",2019-09-02,On ne peut plus écarter la pollution plastique. Le gouvernement va: Interdire les plastiques à usage unique néfastes dès 2021 Tenir les entreprises responsables de leurs déchets de plastique Promouvoir l’innovation créatrice d’emplois et des solutions abordables et sûres,2019-06-10
"The LameStream Media has gone totally CRAZY! They write whatever they want, seldom have sources (even though they say they do), never do “fact checking” anymore, and are only looking for the “kill.” They take good news and make it bad. They are now beyond Fake, they are Corrupt..",2019-09-02,.@MaxsBigRide made it to Parliament Hill – again! What an incredible feat for an important cause. Thanks for all the work – and rides – you do to fight #Duchenne muscular dystrophy.,2019-06-10
"The Amazon Washington Post did a story that I brought racist attacks against the “Squad.” No, they brought racist attacks against our Nation. All I do is call them out for the horrible things they have said. The Democrats have become the Party of the Squad!",2019-09-02,.@MaxsBigRide s'est rendu encore une fois jusqu’à la Colline du Parlement! Quel exploit incroyable pour une cause importante. Merci pour tout le travail que vous faites pour combattre la dystrophie musculaire de #Duchenne.,2019-06-10
"....Trump Economics. With President Trump, Tariffs are bringing companies back to the USA like he said they would! @SteveHiltonx",2019-09-02,"Canadians throw away 3 million tonnes of plastic waste every year. 15 billion plastic bags a year. 57 million straws a day. They end up in our oceans, beaches, parks and streets. And this has to stop. We owe it to our planet, and to our kids.",2019-06-10
"....swing states that went to Trump in 2016 because he promised not to forget about them like the establishment had done for decades, and their trust in President Trump, paid off as they saw their incomes rise...And it’s the lowest paid workers who have gained the most with....",2019-09-02,"Les Canadiens jettent 3M de tonnes de déchets de plastique chaque année – 15 milliards de sacs en plastique par an; 57M de pailles par jour – qui polluent nos océans, nos parcs et nos rues. Ça doit cesser. Nous le devons à notre planète et à nos enfants.",2019-06-10
"....Average hourly wages growth has far outpaced what we saw with President Obama. Across all industries, from mining and construction, to leisure & hospitality, With President Trump we see income growth in states like Iowa, Ohio, Pennsylvania, Wisconsin, Nevada, Florida,......",2019-09-02,Go Canada Go! Good luck to team @CanadaSoccerEN in your first @FIFAWWC match today. #FIFAWWC ,2019-06-10
“The last three years of Trump policy have finally brought real hope and real change. Unemployment this year hit a 50 year low. With President Trump we’ve seen the lowest EVER African American and Hispanic unemployment. The booming Trump Economy has pushed up workers wages....,2019-09-02,"Allez, le Canada! Bonne chance à l’équipe @CanadaSoccerFR pour votre premier match de la @FIFAWWC aujourd'hui. #FIFAWWC ",2019-06-10
"“They are liars, and in my opinion, TRAITORS!” @LouDobbs talking about Comey and his dwindling group of friends.",2019-09-02,Game on! #WeTheNorth,2019-06-10
"....and watched. NAFTA is the worst Trade Deal ever made - terrible for labor - and Richard let it stand. No wonder unions are losing so much. The workers will vote for me in 2020 (lowest unemployment, most jobs ever), and should stop paying exorbitant $Dues, not worth it!",2019-09-02,"Canadians are tired of seeing our beaches, parks, streets, and shorelines littered with plastic waste. Learn more about the action we’re taking to ban harmful single-use plastics: https://bit.ly/2wMBtp0 #BeatPlasticPollution",2019-06-10
Just watched AFL-CIO President Richard Trumka on @FoxNews and thought to myself how different he is on TV than he is when he is with me at the White House. Likes what we are doing until the cameras go on. We got robbed on Trade and everything else while his Dems just sat back....,2019-09-02,"Les Canadiens en ont assez de voir les déchets plastiques polluer leurs plages, leurs parcs, leurs rues et leurs côtes. Découvrez les mesures que nous prenons pour interdire les plastiques à usage unique : https://bit.ly/2R1rDsC #CombattreLaPollutionPlastique",2019-06-10
